INFO:root:/homes/hf17/Documents/Paper/E3DNet/tools/finetuning_E3DNet.py --gpus 0,1,2,3,4 --output ./ckpt/E3DNet_ckpt_ucf101 --pretrained_dir ./ckpt/E3DNet_ckpt_kinetics --model_prefix test --load_epoch 26 --cudnn_tune fastest --batch_per_device 8 --n_frame 16 --lr 0.0001 --wd 0.005 --num_class 101 --num_epoch 15 --datadir /mnt/ccnas2/bdp/hf17/Datasets/UCF101/video_data/UCF-101/ --lr_scheduler_step 15
INFO:root:Namespace(batch_per_device=8, batch_size=16, begin_epoch=0, bn_mom=0.9, crop_size=112, cudnn_tune='fastest', datadir='/mnt/ccnas2/bdp/hf17/Datasets/UCF101/video_data/UCF-101/', epoch_size=100000, gpus='0,1,2,3,4', load_epoch=26, lr=0.0001, lr_scheduler_factor=0.1, lr_scheduler_step=15, model_depth=34, model_prefix='test', momentum=0.9, n_frame=16, num_class=101, num_epoch=15, optimizer='sgd', output='./ckpt/E3DNet_ckpt_ucf101', plot=0, pretrained_dir='./ckpt/E3DNet_ckpt_kinetics', scale_h=128, scale_w=171, wd=0.005, workspace=512)
INFO:root:number of gpu 5
INFO:root:Running on GPUs: [0, 1, 2, 3, 4]
INFO:root:Using epoch size: 100000
INFO:lib.data:load data from /mnt/ccnas2/bdp/hf17/Datasets/UCF101/video_data/UCF-101/, num clip_lst 9537
INFO:lib.data:load data from /mnt/ccnas2/bdp/hf17/Datasets/UCF101/video_data/UCF-101/, num clip_lst 3783
INFO:root:Epoch[0] Batch [2280-2300]	Speed: 16.54 samples/sec	accuracy=0.560000
INFO:root:Epoch[0] Batch [2300-2320]	Speed: 16.59 samples/sec	accuracy=0.568750
INFO:root:Epoch[0] Batch [2320-2340]	Speed: 16.57 samples/sec	accuracy=0.531250
INFO:root:Epoch[0] Batch [2340-2360]	Speed: 16.62 samples/sec	accuracy=0.561250
INFO:root:Epoch[0] Batch [2360-2380]	Speed: 16.53 samples/sec	accuracy=0.580000
INFO:root:Epoch[0] Batch [2380-2400]	Speed: 16.54 samples/sec	accuracy=0.565000
INFO:root:Epoch[0] Batch [2400-2420]	Speed: 16.57 samples/sec	accuracy=0.601250
INFO:root:Epoch[0] Batch [2420-2440]	Speed: 16.59 samples/sec	accuracy=0.576250
INFO:root:Epoch[0] Batch [2440-2460]	Speed: 16.60 samples/sec	accuracy=0.586250
INFO:root:Epoch[0] Batch [2460-2480]	Speed: 16.62 samples/sec	accuracy=0.577500
INFO:root:Epoch[0] Train-accuracy=0.325930
INFO:root:Epoch[0] Time cost=6036.472
INFO:root:Saved checkpoint to "./ckpt/E3DNet_ckpt_ucf101/test-0001.params"
INFO:root:Epoch[0] Validation-accuracy=0.566316
INFO:root:Epoch[1] Batch [0-20]	Speed: 16.52 samples/sec	accuracy=0.578571
INFO:root:Epoch[1] Batch [20-40]	Speed: 16.49 samples/sec	accuracy=0.606250
INFO:root:Epoch[1] Batch [40-60]	Speed: 16.54 samples/sec	accuracy=0.581250
INFO:root:Epoch[1] Batch [60-80]	Speed: 16.50 samples/sec	accuracy=0.612500
INFO:root:Epoch[1] Batch [80-100]	Speed: 16.51 samples/sec	accuracy=0.570000
INFO:root:Epoch[1] Batch [100-120]	Speed: 16.49 samples/sec	accuracy=0.592500
INFO:root:Epoch[1] Batch [120-140]	Speed: 16.52 samples/sec	accuracy=0.586250
INFO:root:Epoch[1] Batch [140-160]	Speed: 16.49 samples/sec	accuracy=0.600000
INFO:root:Epoch[1] Batch [160-180]	Speed: 16.55 samples/sec	accuracy=0.612500
INFO:root:Epoch[1] Batch [180-200]	Speed: 16.57 samples/sec	accuracy=0.638750
INFO:root:Epoch[1] Batch [200-220]	Speed: 16.49 samples/sec	accuracy=0.606250
INFO:root:Epoch[1] Batch [220-240]	Speed: 16.50 samples/sec	accuracy=0.593750
INFO:root:Epoch[1] Batch [240-260]	Speed: 16.58 samples/sec	accuracy=0.623750
INFO:root:Epoch[1] Batch [260-280]	Speed: 16.53 samples/sec	accuracy=0.628750
INFO:root:Epoch[1] Batch [280-300]	Speed: 16.56 samples/sec	accuracy=0.638750
